Year,Month,Origin,Dest,Pax From Origin,Pax To Origin,Freight From Origin,Frieght To Origin,Mail From Origin,Mail To Origin
2025,01,KOLKATA,AGARTALA,29886.00,29428.00,210.61,12.22,2.66,3.89
2025,02,KOLKATA,AGARTALA,27357.00,26757.00,220.45,10.25,5.04,3.95
2025,03,KOLKATA,AGARTALA,30962.00,30230.00,256.94,15.88,1.15,3.49
2025,04,KOLKATA,AGARTALA,37777.00,34630.00,308.89,13.04,2.21,3.39
2025,05,KOLKATA,AGARTALA,37055.00,36370.00,393.70,16.25,1.24,3.66
2025,06,KOLKATA,AGARTALA,34012.00,32463.00,300.01,20.40,1.26,2.81
2025,07,KOLKATA,AGARTALA,31420.00,36643.00,263.53,19.18,1.12,2.03
2025,08,KOLKATA,AGARTALA,32126.00,32519.00,263.99,16.72,1.12,3.20
2025,09,KOLKATA,AGARTALA,32333.00,28415.00,313.94,15.22,2.54,2.30
2025,10,KOLKATA,AGARTALA,32844.00,37795.00,137.33,11.07,1.31,2.73
2025,01,KOLKATA,AHMEDABAD,24149.00,24629.00,139.28,220.73,7.03,4.09
2025,02,KOLKATA,AHMEDABAD,22682.00,23769.00,133.32,195.69,5.27,2.96
2025,03,KOLKATA,AHMEDABAD,20763.00,24131.00,99.10,229.11,4.86,2.82
2025,04,KOLKATA,AHMEDABAD,23400.00,25963.00,115.36,242.18,3.69,1.73
2025,05,KOLKATA,AHMEDABAD,25751.00,29078.00,162.49,262.23,4.45,0.80
2025,06,KOLKATA,AHMEDABAD,26498.00,21719.00,111.42,240.18,4.63,0.77
2025,07,KOLKATA,AHMEDABAD,27351.00,20672.00,151.07,289.30,3.54,0.17
2025,08,KOLKATA,AHMEDABAD,23843.00,21297.00,133.12,287.33,3.70,0.93
2025,09,KOLKATA,AHMEDABAD,18930.00,19394.00,129.35,217.59,4.08,0.33
2025,10,KOLKATA,AHMEDABAD,23876.00,27881.00,131.80,236.49,2.87,6.25
2025,01,KOLKATA,AIZAWL,7641.00,10119.00,10.10,49.35,4.87,10.48
2025,02,KOLKATA,AIZAWL,4832.00,4904.00,12.34,10.65,4.05,9.08
2025,03,KOLKATA,AIZAWL,5597.00,6044.00,11.77,7.12,6.71,12.80
2025,04,KOLKATA,AIZAWL,5415.00,5469.00,13.78,6.81,4.79,15.56
2025,05,KOLKATA,AIZAWL,5308.00,5426.00,20.40,6.76,4.80,15.48
2025,06,KOLKATA,AIZAWL,4822.00,5492.00,13.01,9.58,9.37,12.11
2025,07,KOLKATA,AIZAWL,4898.00,5497.00,27.40,13.21,10.39,12.25
2025,08,KOLKATA,AIZAWL,5177.00,5735.00,17.82,10.11,11.08,9.61
2025,09,KOLKATA,AIZAWL,4622.00,4805.00,12.61,6.62,9.46,11.30
2025,10,KOLKATA,AIZAWL,5057.00,5135.00,8.00,11.29,10.00,15.00
2025,01,KOLKATA,AMRITSAR,2352.00,2291.00,0.65,0.76,0.00,0.00
2025,02,KOLKATA,AMRITSAR,2305.00,2199.00,0.24,0.18,0.00,0.00
2025,03,KOLKATA,AMRITSAR,2346.00,2554.00,0.27,0.79,0.00,0.00
2025,04,KOLKATA,AMRITSAR,1932.00,2213.00,2.07,1.37,0.00,0.00
2025,05,KOLKATA,AMRITSAR,886.00,955.00,0.13,1.64,0.00,0.00
2025,06,KOLKATA,AMRITSAR,1314.00,1727.00,0.23,4.55,0.00,0.00
2025,07,KOLKATA,AMRITSAR,1572.00,1442.00,0.63,1.45,0.00,0.00
2025,08,KOLKATA,AMRITSAR,1264.00,1381.00,0.57,2.95,0.00,0.00
2025,09,KOLKATA,AMRITSAR,1324.00,1292.00,0.41,1.70,0.00,0.00
2025,10,KOLKATA,AMRITSAR,1914.00,1932.00,0.48,0.51,0.00,0.00
2025,01,KOLKATA,BAGDOGRA,25456.00,26734.00,24.91,27.92,14.13,11.39
2025,02,KOLKATA,BAGDOGRA,23835.00,24617.00,37.65,29.10,12.64,11.57
2025,03,KOLKATA,BAGDOGRA,27763.00,27803.00,26.50,33.30,12.06,12.18
2025,04,KOLKATA,BAGDOGRA,25334.00,25696.00,17.98,32.46,9.67,10.15
2025,05,KOLKATA,BAGDOGRA,25831.00,25962.00,46.05,21.86,5.93,9.02
2025,06,KOLKATA,BAGDOGRA,21371.00,24463.00,23.47,33.39,9.01,8.83
2025,07,KOLKATA,BAGDOGRA,17305.00,19889.00,44.47,25.20,8.11,6.95
2025,08,KOLKATA,BAGDOGRA,18505.00,19722.00,78.55,37.99,5.60,5.96
2025,09,KOLKATA,BAGDOGRA,22501.00,18369.00,59.46,57.80,7.22,7.71
2025,10,KOLKATA,BAGDOGRA,22544.00,26290.00,21.33,54.34,4.16,7.14
2025,07,KOLKATA,BELGAUM,6.00,0.00,0.00,0.00,0.00,0.00
2025,01,KOLKATA,BENGALURU,97630.00,99123.00,653.05,745.89,9.13,14.88
2025,02,KOLKATA,BENGALURU,76476.00,80547.00,476.94,554.08,8.87,8.57
2025,03,KOLKATA,BENGALURU,90965.00,98985.00,509.33,609.17,6.61,12.19
2025,04,KOLKATA,BENGALURU,94853.00,99653.00,479.64,546.68,7.38,15.86
2025,05,KOLKATA,BENGALURU,95270.00,94796.00,666.55,539.36,9.02,16.52
2025,06,KOLKATA,BENGALURU,101836.00,97293.00,512.97,1164.10,8.28,14.16
2025,07,KOLKATA,BENGALURU,90104.00,84261.00,633.85,1248.17,7.93,19.94
2025,08,KOLKATA,BENGALURU,83220.00,82232.00,707.26,880.31,7.00,20.98
2025,09,KOLKATA,BENGALURU,79408.00,93740.00,705.70,844.25,7.26,26.34
2025,10,KOLKATA,BENGALURU,99045.00,103186.00,828.55,948.35,9.14,19.21
2025,01,KOLKATA,BHUBANESWAR,26845.00,26756.00,51.80,75.70,18.12,1.94
2025,02,KOLKATA,BHUBANESWAR,23320.00,22719.00,40.10,84.29,32.02,0.12
2025,03,KOLKATA,BHUBANESWAR,26026.00,25621.00,53.89,90.26,19.02,0.00
2025,04,KOLKATA,BHUBANESWAR,24009.00,25082.00,9.89,80.77,7.55,0.00
2025,05,KOLKATA,BHUBANESWAR,24577.00,25297.00,55.55,59.17,2.97,0.06
2025,06,KOLKATA,BHUBANESWAR,19132.00,17454.00,42.21,64.63,6.25,0.00
2025,07,KOLKATA,BHUBANESWAR,14526.00,13839.00,14.40,35.64,18.37,0.00
2025,08,KOLKATA,BHUBANESWAR,14251.00,14533.00,11.65,17.54,19.04,0.00
2025,09,KOLKATA,BHUBANESWAR,13181.00,13821.00,11.17,15.66,13.67,0.00
2025,10,KOLKATA,BHUBANESWAR,16020.00,16095.00,14.31,5.39,7.76,0.00
2025,01,KOLKATA,BILASPUR,129.00,124.00,0.00,0.00,0.00,0.00
2025,02,KOLKATA,BILASPUR,213.00,263.00,0.00,0.00,0.00,0.00
2025,03,KOLKATA,BILASPUR,283.00,285.00,0.00,0.00,0.00,0.00
2025,04,KOLKATA,BILASPUR,375.00,442.00,0.00,0.00,0.00,0.00
2025,05,KOLKATA,BILASPUR,265.00,326.00,0.00,0.00,0.00,0.00
2025,06,KOLKATA,BILASPUR,317.00,291.00,0.00,0.00,0.00,0.00
2025,07,KOLKATA,BILASPUR,273.00,227.00,0.00,0.00,0.00,0.00
2025,08,KOLKATA,BILASPUR,295.00,317.00,0.00,0.00,0.00,0.00
2025,09,KOLKATA,BILASPUR,262.00,356.00,0.00,0.00,0.00,0.00
2025,10,KOLKATA,BILASPUR,92.00,124.00,0.00,0.00,0.00,0.00
2025,01,KOLKATA,CHANDIGARH,5381.00,5039.00,6.12,24.39,0.00,0.00
2025,02,KOLKATA,CHANDIGARH,5515.00,5484.00,6.89,13.33,0.00,0.00
2025,03,KOLKATA,CHANDIGARH,4876.00,4945.00,9.21,16.13,0.00,0.00
2025,04,KOLKATA,CHANDIGARH,4156.00,4203.00,9.53,16.52,0.59,0.00
2025,05,KOLKATA,CHANDIGARH,2745.00,2639.00,4.51,12.20,0.25,0.00
2025,06,KOLKATA,CHANDIGARH,3665.00,3716.00,7.11,12.46,0.56,0.00
2025,07,KOLKATA,CHANDIGARH,12543.00,12189.00,169.74,92.14,0.85,0.00
2025,08,KOLKATA,CHANDIGARH,14046.00,13599.00,92.59,53.02,0.72,0.00
2025,09,KOLKATA,CHANDIGARH,12123.00,12095.00,87.62,49.14,0.72,0.87
2025,10,KOLKATA,CHANDIGARH,11546.00,11800.00,75.91,58.86,0.60,0.83
2025,01,KOLKATA,CHENNAI,43590.00,44780.00,230.20,192.72,12.75,19.90
2025,02,KOLKATA,CHENNAI,38059.00,39340.00,223.26,314.44,1.70,13.95
2025,03,KOLKATA,CHENNAI,40161.00,42789.00,202.74,373.07,4.01,13.33
2025,04,KOLKATA,CHENNAI,38932.00,39906.00,214.51,316.05,4.68,11.17
2025,05,KOLKATA,CHENNAI,32476.00,33540.00,396.59,246.28,8.90,12.65
2025,06,KOLKATA,CHENNAI,41177.00,38893.00,225.13,265.39,5.75,12.89
2025,07,KOLKATA,CHENNAI,43006.00,39904.00,198.65,299.49,3.23,15.70
2025,08,KOLKATA,CHENNAI,40903.00,40682.00,311.20,305.96,3.44,14.79
2025,09,KOLKATA,CHENNAI,34014.00,40650.00,267.62,204.53,4.51,16.60
2025,10,KOLKATA,CHENNAI,42395.00,45739.00,166.49,230.45,3.47,14.44
2025,03,KOLKATA,COIMBATORE,196.00,0.00,4.36,0.00,0.00,0.00
2025,10,KOLKATA,COIMBATORE,5.00,0.00,0.12,0.00,0.00,0.00
2025,01,KOLKATA,COOCH BEHAR,261.00,260.00,0.00,0.00,0.00,0.00
2025,02,KOLKATA,COOCH BEHAR,232.00,229.00,0.00,0.00,0.00,0.00
2025,03,KOLKATA,COOCH BEHAR,267.00,261.00,0.00,0.00,0.00,0.00
2025,04,KOLKATA,COOCH BEHAR,264.00,253.00,0.00,0.00,0.00,0.00
2025,05,KOLKATA,COOCH BEHAR,260.00,257.00,0.00,0.00,0.00,0.00
2025,06,KOLKATA,COOCH BEHAR,223.00,255.00,0.00,0.00,0.00,0.00
2025,07,KOLKATA,COOCH BEHAR,153.00,184.00,0.00,0.00,0.00,0.00
2025,08,KOLKATA,COOCH BEHAR,209.00,216.00,0.00,0.00,0.00,0.00
2025,09,KOLKATA,COOCH BEHAR,203.00,215.00,0.00,0.00,0.00,0.00
2025,10,KOLKATA,COOCH BEHAR,244.00,267.00,0.00,0.00,0.00,0.00
2025,01,KOLKATA,DABOLIM,5537.00,6040.00,9.99,13.33,0.00,1.53
2025,02,KOLKATA,DABOLIM,4452.00,4665.00,7.97,7.88,0.00,0.84
2025,03,KOLKATA,DABOLIM,4609.00,5479.00,2.95,6.25,0.00,1.12
2025,04,KOLKATA,DABOLIM,4925.00,5793.00,4.28,3.63,0.02,1.13
