Year,Quarter,Origin,Dest,Pax From Origin,Pax To Origin,Freight From Origin,Frieght To Origin
2025,1,KOLKATA,ABUDHABI,6265,5711,29.34,0.00
2025,2,KOLKATA,ABUDHABI,20552,20556,150.96,2.11
2025,3,KOLKATA,ABUDHABI,21092,17959,194.18,3.39
2025,1,KOLKATA,BANGKOK,43712,44397,640.08,114.98
2025,2,KOLKATA,BANGKOK,30675,32831,436.24,74.42
2025,3,KOLKATA,BANGKOK,32503,32452,456.75,64.78
2025,1,KOLKATA,DHAKA,27378,28601,486.81,98.50
2025,2,KOLKATA,DHAKA,24485,20845,194.53,40.38
2025,3,KOLKATA,DHAKA,21453,22924,178.34,41.36
2025,1,KOLKATA,DOHA,21801,20848,1116.94,634.67
2025,2,KOLKATA,DOHA,20330,20422,967.41,506.98
2025,3,KOLKATA,DOHA,21153,19371,975.29,610.46
2025,1,KOLKATA,"DON MUEANG, BANGKOK ",12835,13979,204.04,106.17
2025,2,KOLKATA,"DON MUEANG, BANGKOK ",16870,18910,221.07,167.46
2025,3,KOLKATA,"DON MUEANG, BANGKOK ",18548,19465,259.96,163.41
2025,1,KOLKATA,DUBAI,52845,51512,2877.00,738.32
2025,2,KOLKATA,DUBAI,50491,48216,2400.57,723.46
2025,3,KOLKATA,DUBAI,50783,46642,3206.06,757.87
2025,1,KOLKATA,HANOI,18309,17308,102.52,19.58
2025,2,KOLKATA,HANOI,14913,14645,107.92,36.21
2025,3,KOLKATA,HANOI,13499,13256,108.81,59.59
2025,1,KOLKATA,HO CHI MINH CITY,13161,13342,16.87,109.68
2025,2,KOLKATA,HO CHI MINH CITY,13203,14055,73.41,135.36
2025,3,KOLKATA,HO CHI MINH CITY,10855,11888,135.94,87.94
2025,1,KOLKATA,KUALALUMPUR,21442,19311,409.12,179.58
2025,2,KOLKATA,KUALALUMPUR,22656,21790,410.78,266.08
2025,3,KOLKATA,KUALALUMPUR,22839,21931,467.75,310.76
2025,1,KOLKATA,PARO,3216,2810,0.28,0.12
2025,2,KOLKATA,PARO,5200,5669,0.27,0.00
2025,3,KOLKATA,PARO,3785,3109,0.24,0.00
2025,1,KOLKATA,PHUKET,21003,19914,69.20,23.54
2025,2,KOLKATA,PHUKET,23379,21411,65.50,11.04
2025,3,KOLKATA,PHUKET,16887,14434,55.90,12.81
2025,1,KOLKATA,RANGOON,2528,2639,11.76,8.42
2025,2,KOLKATA,RANGOON,2329,2124,10.79,15.45
2025,3,KOLKATA,RANGOON,1935,2133,24.24,6.92
2025,1,KOLKATA,SINGAPORE,33262,27466,702.46,566.83
2025,2,KOLKATA,SINGAPORE,33364,29160,786.70,522.56
2025,3,KOLKATA,SINGAPORE,28355,26149,846.58,593.64
